Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
SAMARTH,Season 1 Trailer 2: All of Us Are Dead,Netflix Opera Other,2022-02-09 06:21:03,CA,"[{""eventType"":""start"",""sessionOffsetMs"":89,""mediaOffsetMs"":21},{""eventType"":""stopped"",""sessionOffsetMs"":509,""mediaOffsetMs"":21}]"
SAMARTH,Harold & Kumar Escape from Guantanamo Bay_hook_primary_16x9,Netflix Opera Other,2022-02-09 06:20:22,CA,"[{""eventType"":""start"",""sessionOffsetMs"":32,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":968,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":34681,""mediaOffsetMs"":33616},{""eventType"":""reposition"",""sessionOffsetMs"":34683,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":34701,""mediaOffsetMs"":1}]"
SAMARTH,The Legend of Korra: Book One: Air_hook_primary_16x9,Netflix Opera Other,2022-02-09 02:19:58,CA,"[{""eventType"":""start"",""sessionOffsetMs"":14,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":1075,""mediaOffsetMs"":1}]"
SAMARTH,We're the Millers,Netflix Opera Other,2022-02-09 01:40:36,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1534,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":22544,""mediaOffsetMs"":20854},{""eventType"":""paused"",""sessionOffsetMs"":1287806,""mediaOffsetMs"":1286000},{""eventType"":""reposition"",""sessionOffsetMs"":1287807,""mediaOffsetMs"":1295697},{""eventType"":""playing"",""sessionOffsetMs"":1287931,""mediaOffsetMs"":1295697},{""eventType"":""paused"",""sessionOffsetMs"":1288787,""mediaOffsetMs"":1296000},{""eventType"":""reposition"",""sessionOffsetMs"":1288788,""mediaOffsetMs"":1306154},{""eventType"":""playing"",""sessionOffsetMs"":1288865,""mediaOffsetMs"":1306154},{""eventType"":""paused"",""sessionOffsetMs"":1289616,""mediaOffsetMs"":1307000},{""eventType"":""reposition"",""sessionOffsetMs"":1289617,""mediaOffsetMs"":1316712},{""eventType"":""playing"",""sessionOffsetMs"":1289772,""mediaOffsetMs"":1316712},{""eventType"":""paused"",""sessionOffsetMs"":1290364,""mediaOffsetMs"":1317000},{""eventType"":""reposition"",""sessionOffsetMs"":1290365,""mediaOffsetMs"":1327159},{""eventType"":""playing"",""sessionOffsetMs"":1290471,""mediaOffsetMs"":1327159},{""eventType"":""paused"",""sessionOffsetMs"":1291279,""mediaOffsetMs"":1328000},{""eventType"":""reposition"",""sessionOffsetMs"":1291280,""mediaOffsetMs"":1337851},{""eventType"":""playing"",""sessionOffsetMs"":1291322,""mediaOffsetMs"":1337851},{""eventType"":""paused"",""sessionOffsetMs"":1323044,""mediaOffsetMs"":1369000},{""eventType"":""reposition"",""sessionOffsetMs"":1323045,""mediaOffsetMs"":1379037},{""eventType"":""playing"",""sessionOffsetMs"":1323205,""mediaOffsetMs"":1379037},{""eventType"":""paused"",""sessionOffsetMs"":1358951,""mediaOffsetMs"":1414476}]"
SAMARTH,We're the Millers_hook_primary_16x9,Netflix Opera Other,2022-02-09 01:40:34,CA,"[{""eventType"":""start"",""sessionOffsetMs"":5,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1692,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":2366,""mediaOffsetMs"":438}]"
SAMARTH,We're the Millers_hook_primary_16x9,Netflix Opera Other,2022-02-09 01:40:28,CA,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1573,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":2617,""mediaOffsetMs"":943}]"
SAMARTH,That's My Boy_hook_primary_16x9,Netflix Opera Other,2022-02-09 01:39:47,CA,"[{""eventType"":""start"",""sessionOffsetMs"":8,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":2551,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":24298,""mediaOffsetMs"":21563},{""eventType"":""playing"",""sessionOffsetMs"":33047,""mediaOffsetMs"":30280},{""eventType"":""stopped"",""sessionOffsetMs"":42270,""mediaOffsetMs"":38079}]"
SAMARTH,Superbad_hook_primary_16x9,Netflix Opera Other,2022-02-09 01:39:15,CA,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1446,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":22458,""mediaOffsetMs"":20729},{""eventType"":""stopped"",""sessionOffsetMs"":30062,""mediaOffsetMs"":26109}]"
SAMARTH,Jackass: The Movie_hook_primary_16x9,Netflix Opera Other,2022-02-09 01:38:56,CA,"[{""eventType"":""start"",""sessionOffsetMs"":8,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1737,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":18679,""mediaOffsetMs"":11511}]"
SAMARTH,Despicable Me 2_hook_primary_16x9,Netflix Opera Other,2022-02-09 01:38:30,CA,"[{""eventType"":""start"",""sessionOffsetMs"":15,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":3210,""mediaOffsetMs"":1},{""eventType"":""paused"",""sessionOffsetMs"":5130,""mediaOffsetMs"":1532},{""eventType"":""stopped"",""sessionOffsetMs"":127960,""mediaOffsetMs"":1886}]"
SAMARTH,Season 1 Teaser: The Witcher: Blood Origin,Netflix Opera Other,2022-02-09 01:38:08,CA,"[{""eventType"":""start"",""sessionOffsetMs"":10,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":444,""mediaOffsetMs"":1}]"
SAMARTH,Teaser: Bubble,Netflix Opera Other,2022-02-09 01:38:07,CA,"[{""eventType"":""start"",""sessionOffsetMs"":11,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":671,""mediaOffsetMs"":1}]"
SAMARTH,Season 1 Teaser: The Witcher: Blood Origin,Netflix Opera Other,2022-02-09 01:37:09,CA,"[{""eventType"":""start"",""sessionOffsetMs"":4,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1157,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":25413,""mediaOffsetMs"":24125},{""eventType"":""playing"",""sessionOffsetMs"":28655,""mediaOffsetMs"":27375},{""eventType"":""playing"",""sessionOffsetMs"":32669,""mediaOffsetMs"":31291},{""eventType"":""playing"",""sessionOffsetMs"":40166,""mediaOffsetMs"":38750},{""eventType"":""stopped"",""sessionOffsetMs"":58426,""mediaOffsetMs"":55666}]"
SAMARTH,Season 1 Teaser: Juvenile Justice,Netflix Opera Other,2022-02-09 01:36:12,CA,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1220,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":21967,""mediaOffsetMs"":20311},{""eventType"":""playing"",""sessionOffsetMs"":30474,""mediaOffsetMs"":29029},{""eventType"":""stopped"",""sessionOffsetMs"":52597,""mediaOffsetMs"":51042}]"
SAMARTH,Season 1 Trailer: Worst Roommate Ever,Netflix Opera Other,2022-02-09 01:36:01,CA,"[{""eventType"":""start"",""sessionOffsetMs"":10,""mediaOffsetMs"":21},{""eventType"":""stopped"",""sessionOffsetMs"":470,""mediaOffsetMs"":21}]"
SAMARTH,Season 1 First Look: The Sandman,Netflix Opera Other,2022-02-09 01:34:58,CA,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1856,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":23858,""mediaOffsetMs"":21813},{""eventType"":""playing"",""sessionOffsetMs"":28864,""mediaOffsetMs"":26735},{""eventType"":""playing"",""sessionOffsetMs"":32369,""mediaOffsetMs"":30405},{""eventType"":""stopped"",""sessionOffsetMs"":60154,""mediaOffsetMs"":56681}]"
SAMARTH,Season 1 Teaser 1: The Fame Game,Netflix Opera Other,2022-02-09 01:34:52,CA,"[{""eventType"":""start"",""sessionOffsetMs"":11,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":1683,""mediaOffsetMs"":1}]"
SAMARTH,Season 3 Teaser: The Umbrella Academy,Netflix Opera Other,2022-02-09 01:34:37,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1142,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":14105,""mediaOffsetMs"":12550}]"
SAMARTH,Season 1 Teaser 1: Vikings: Valhalla,Netflix Opera Other,2022-02-09 01:33:11,CA,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":1253,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":23498,""mediaOffsetMs"":22022},{""eventType"":""playing"",""sessionOffsetMs"":28999,""mediaOffsetMs"":27318},{""eventType"":""playing"",""sessionOffsetMs"":36246,""mediaOffsetMs"":34617},{""eventType"":""playing"",""sessionOffsetMs"":38997,""mediaOffsetMs"":37328},{""eventType"":""stopped"",""sessionOffsetMs"":67906,""mediaOffsetMs"":66316}]"
